3350,House,Bungalow ,325000,None,3,254,None,,None,No,True,1,None,None,None,to be renovated
8670,House,Bungalow ,128000,None,2,60,None,No,None,No,True,1,None,None,None,New
8820,House,Bungalow ,399000,None,3,264,None,,None,No,True,1,None,None,None,to be renovated
8510,House,Bungalow ,268000,None,3,103,None,,None,No,True,1,None,None,None,to be renovated
9470,House,Bungalow ,900000,None,5,292,None,,None,No,True,2,None,None,None,to be renovated
9250,House,Bungalow ,307500,None,3,100,None,,None,No,True,1,None,None,None,to be renovated
4180,House,Bungalow ,300000,None,2,129,None,,None,No,True,1,None,None,None,to be renovated
3920,House,Bungalow ,268000,None,3,182,None,,None,No,True,1,None,None,None,to be renovated
1745,House,Bungalow ,425000,None,3,220,None,,None,No,True,1,None,None,None,to be renovated
8710,House,Bungalow ,220000,None,3,None,None,No,None,No,None,1,None,None,None,to be renovated
6997,House,Bungalow ,249000,None,3,100,None,,None,No,True,1,None,None,None,New
9280,House,Bungalow ,420000,None,5,225,None,,None,No,True,1,None,None,None,to be renovated
3384,House,Bungalow ,310000,None,3,109,None,,None,No,True,1,None,None,None,to be renovated
9700,House,Bungalow ,365000,None,3,150,None,No,None,No,None,1,None,None,None,to be renovated
9881,House,Bungalow ,375000,None,3,160,None,,None,No,True,1,None,None,None,to be renovated
6760,House,Bungalow ,86000,None,2,42,None,,None,No,True,1,None,None,None,fairly new
5541,House,Bungalow ,55000,None,2,58,None,,None,No,None,1,None,None,None,None
3630,House,Bungalow ,199500,None,3,None,None,No,None,No,None,None,None,None,None,to be renovated
8434,House,Bungalow ,185000,None,2,66,None,,None,No,None,1,None,None,None,to be renovated
1540,House,Bungalow ,325000,None,3,147,None,,None,No,True,1,None,None,None,to be renovated
8810,House,Bungalow ,None,None,None,None,None,No,None,No,None,None,None,None,None,None
9000,House,Maison bourgeoise ,625000,None,4,247,None,,None,No,True,4,None,None,None,to be renovated
9031,House,Maison bourgeoise ,275000,None,None,None,None,,None,No,True,None,None,None,None,None
None,None,None,None,None,None,None,None,No,None,No,None,None,None,None,None,None
9000,House,Maison bourgeoise ,412500,None,3,135,None,,None,No,True,1,None,None,None,to be renovated
9060,House,Maison bourgeoise ,285000,None,3,133,None,,None,No,True,1,None,None,None,New
7890,House,Maison bourgeoise ,310000,None,3,331,None,,None,No,True,1,None,None,None,to be renovated
8790,House,Maison bourgeoise ,665000,None,4,288,None,,None,No,True,2,None,None,None,to be renovated
8790,House,Maison bourgeoise ,665000,None,4,288,None,,None,No,True,2,None,None,None,to be renovated
9450,House,Maison bourgeoise ,309000,None,4,229,None,,None,No,None,2,None,None,None,to be renovated
7800,House,Maison bourgeoise ,650000,None,6,423,None,,None,No,True,3,None,None,None,None
7911,House,Maison bourgeoise ,565000,None,10,None,None,No,None,No,None,None,None,None,None,None
2900,House,Maison bourgeoise ,345000,None,4,172,None,No,None,No,True,1,None,None,None,to be renovated
3010,House,Maison bourgeoise ,398000,None,4,140,None,,None,No,True,2,None,None,None,to be renovated
3000,House,Maison bourgeoise ,1095000,None,7,368,None,,None,No,True,2,None,None,None,to be renovated
3650,House,Maison bourgeoise ,289000,None,3,160,None,No,None,No,True,2,None,None,None,to be renovated
9900,House,None,None,None,None,None,None,No,None,No,None,None,None,None,None,New
8930,House,Maison bourgeoise ,208000,None,2,150,None,,None,No,True,1,None,None,None,to be renovated
2630,House,Maison bourgeoise ,445000,None,4,None,None,No,None,No,None,None,None,None,None,to be renovated
1090,House,Maison bourgeoise ,449000,None,4,224,None,,None,No,True,2,None,None,None,to be renovated
7782,House,Maison bourgeoise ,175000,None,3,115,None,,None,No,True,1,None,None,None,to be renovated
8900,House,Maison bourgeoise ,319000,None,3,200,None,,None,No,True,2,None,None,None,to be renovated
8900,House,Maison bourgeoise ,None,None,4,178,None,,None,No,None,2,None,None,None,None
8790,House,Maison bourgeoise ,248000,None,3,220,None,,None,No,None,None,None,None,None,to be renovated
None,None,None,None,None,None,None,None,No,None,No,None,None,None,None,None,None
2018,House,Maison bourgeoise ,820000,None,5,306,None,,None,No,True,2,None,None,None,None
9040,House,Maison bourgeoise ,329500,None,3,190,None,,None,No,True,1,None,None,None,to be renovated
3012,House,Maison bourgeoise ,365000,None,3,None,None,,None,No,True,1,None,None,None,to be renovated
8380,House,Maison bourgeoise ,370000,None,3,None,None,No,None,No,None,1,None,None,None,None
9200,House,Maison bourgeoise ,289000,None,3,151,None,No,None,No,True,2,None,None,None,to be renovated
5580,House,Maison bourgeoise ,415000,None,6,220,None,,None,No,True,4,None,None,None,None
8840,House,Maison bourgeoise ,250000,None,3,None,None,,None,No,True,1,None,None,None,None
9250,House,Maison bourgeoise ,186000,None,2,111,None,No,None,No,None,1,None,None,None,to be renovated
9000,House,Maison bourgeoise ,412500,None,3,135,None,,None,No,True,1,None,None,None,to be renovated
3000,House,Maison bourgeoise ,720000,None,5,257,None,,None,No,True,3,None,None,None,None
None,None,None,None,None,None,None,None,No,None,No,None,None,None,None,None,None
3001,House,Maison bourgeoise ,505000,None,8,241,None,No,None,No,None,2,None,None,None,to be renovated
2800,House,Maison bourgeoise ,598500,None,4,None,None,,None,No,True,1,None,None,None,to be renovated
9000,House,Maison bourgeoise ,395000,None,4,None,None,No,None,No,None,None,None,None,None,None
7911,House,Maison bourgeoise ,380000,None,10,None,None,No,None,No,None,None,None,None,None,None
